   # (RTNG)                  USERNAME   ( Games :  Score )
------------------------------------------------------------
   1 (3310)             DrGrekenstein   (    56 :    43.5)
   2 (3232)             DrNykterstein   (  7155 :  4996.5)
   3 (3220)            DrDrunkenstein   (   638 :   421.5)
   4 (3214)            DannyTheDonkey   (    83 :    59.5)
   5 (3197)               katebeckett   (    41 :    30.0)
   6 (3195)                 Kuuhaku_1   (   109 :    83.5)
   7 (3183)                ChessJuice   (   252 :   171.0)
   8 (3172)               manwithavan   (   123 :    85.0)
   9 (3172)               Grey_parrot   (   198 :   138.0)
  10 (3167)               alireza2003   (  4234 :  2451.0)
  11 (3159)               penguingim1   ( 11190 :  7099.0)
  12 (3157)                  Konevlad   (   478 :   316.0)
  13 (3152)       CleverTacticButFail   (   193 :   122.5)
  14 (3151)                C9C9C9C9C9   (  2381 :  1438.5)
  15 (3142)                 galbijjim   (   798 :   454.5)
  16 (3141)                     Sasha   (    59 :    39.0)
  17 (3127)             RebeccaHarris   (  3493 :  1766.0)
  18 (3123)               junglebook1   (  1730 :  1158.5)
  19 (3117)          avalongamemaster   (   293 :   170.5)
  20 (3101)                   Jepetto   (    82 :    53.0)
  21 (3093)       Ultimate_SHSL_Gamer   (   318 :   213.5)
  22 (3091)                chessbrahs   (   659 :   300.0)
  23 (3091)           Zhigalko_Sergei   ( 12280 :  7689.0)
  24 (3089)               Wild-King91   (   280 :   157.5)
  25 (3085)            nihalsarin2004   (  4633 :  2725.0)
  26 (3084)                    STL_So   (   185 :   116.0)
  27 (3084)              CheeseMuffin   (   136 :    75.5)
  28 (3083)                    Watneg   (  1580 :   947.0)
  29 (3078)              Night-King96   (  3107 :  1690.0)
  30 (3077)                  Azzaro25   (   310 :   186.0)
  31 (3075)                  muisback   (  3376 :  2087.0)
  32 (3073)                   mutdpro   (  3547 :  1999.0)
  33 (3069)                 Sparta299   (   287 :   179.5)
  34 (3064)       Inventing_Invention   (  3325 :  1791.0)
  35 (3063)                     Gbeto   (   253 :   133.0)
  36 (3063)         Vladimirovich9000   (  1035 :   582.5)
  37 (3062)                 SVODMEVKO   (  1766 :  1048.5)
  38 (3061)                opperwezen   (  2778 :  1451.0)
  39 (3060)                    Arka50   (  1562 :   863.5)
  40 (3060)           UnVieuxMonsieur   (   567 :   286.0)
  41 (3058)                  FeegLood   (   435 :   233.0)
  42 (3058)          lodewijkfrederik   (   435 :   252.5)
  43 (3057)                 AnishGiri   (   666 :   376.0)
  44 (3049)           neslraCsungaM77   (   620 :   380.5)
  45 (3048)                    daro94   (    17 :    10.5)
  46 (3045)              STL_Grischuk   (    91 :    46.5)
  47 (3043)                 STL_Xiong   (    17 :     6.5)
  48 (3035)            AnishOnYoutube   (   114 :    61.0)
  49 (3034)             bushidonaruto   (   813 :   474.0)
  50 (3030)              Bombegranate   (   131 :    64.5)
  51 (3030)          sp1cycaterpillar   (   798 :   437.0)
  52 (3027)                drop_stone   (  5017 :  2601.0)
  53 (3026)                 Eduiturri   (   860 :   445.5)
  54 (3024)               Federicov93   (  1694 :   819.5)
  55 (3021)                ARM-777777   (  5675 :  3014.5)
  56 (3020)              hansontwitch   (   247 :   113.0)
  57 (3019)                  wizard98   (  2268 :  1188.0)
  58 (3019)               Amin_____tb   (  2360 :  1273.5)
  59 (3018)           Alexander_Zubov   (  3297 :  1878.5)
  60 (3018)            giraffepoacher   (   100 :    49.0)
  61 (3018)                   Crecent   (   730 :   430.0)
